seed mass,whole plant height,leaf photosynthetic rate per leaf dry mass,leaf area per leaf dry mass,leaf nitrogen content per leaf dry mass,leaf phosphorus content per leaf dry mass,Species
110.94532152941176,13.139473684210527,0.1,12.847812828256302,19.4,1.9,Acer campestre
93.39272553846153,16.10098901098901,0.139624,14.695741811065801,27.1,2.1333333333333333,Acer pseudoplatanus
22.764564666666665,14.873903526899417,0.12124384964,20.519995250943648,16.941472222222224,1.115,Acer rubrum
55.313758,18.12617884734415,0.11920259533750001,24.90763450524368,15.77225,1.4,Acer saccharum
34.42572822222222,NA,NA,NA,NA,NA,Acer tataricum
0.18619481081081082,0.1219649909918919,0.22767519025000002,15.105102759619719,23.566887366666666,2.0123933333333333,Achillea millefolium
NA,0.4,NA,NA,NA,NA,Achillea nobilis
0.22,0.775,NA,17.299678173272728,NA,NA,Achillea ptarmica
95.315,0.07250000000000001,NA,38.45,NA,NA,Adoxa moschatellina
13737.621231428571,23.8,NA,10.96000273972603,24,1.6,Aesculus hippocastanum
1.35,0.490625,NA,33.31,NA,NA,Aethusa cynapium
7.6941,0.3135606060609091,NA,18.69215021375,NA,NA,Agrimonia eupatoria
0.06516190476190477,0.2818333333333333,NA,32.73324962459459,NA,NA,Agrostis capillaris
0.05455066666666667,0.27823525,NA,30.880967424999998,NA,NA,Agrostis stolonifera
0.1301545,0.20600000000000002,0.0049990564166666664,31.930372970396988,38.45889583333334,NA,Aira caryophyllea
NA,0.185,NA,25.99,NA,NA,Ajuga genevensis
1.47,0.152125,NA,33.30081319,NA,NA,Ajuga reptans
2.70525,0.5611111111111111,NA,47.0135,NA,NA,Alliaria petiolata
0.2768,0.2125,NA,28.932968615384617,NA,NA,Alopecurus geniculatus
1.52,0.3,NA,27.266666666666666,NA,NA,Alopecurus myosuroides
0.7734864864864864,0.34945639285714286,NA,38.32858786139535,NA,NA,Alopecurus pratensis
0.5072385789473685,0.16120876923076924,NA,29.59983,27.47794,NA,Anagallis arvensis
1.1825,0.9722222222222222,NA,26.93231906,NA,NA,Angelica sylvestris
0.5587608620689655,0.2286494375,NA,34.151153095616436,21.50307,NA,Anthoxanthum odoratum
1.2500805,0.42,NA,35.61131421052632,NA,NA,Anthriscus caucalis
3.8312307692307694,0.8333333333333334,NA,30.497510735238095,NA,NA,Anthriscus sylvestris
0.06689138095238095,0.164715875,NA,20.99235875,NA,NA,Arenaria serpyllifolia
NA,NA,NA,7.80621339084,NA,NA,Argyroxiphium grayanum
2.8726363636363637,1.0494166666666667,0.00535714575,30.25259919226694,35.164943432307695,NA,Arrhenatherum elatius
119.706,0.25916666666666666,NA,33.26,NA,NA,Arum maculatum
NA,0.2625,NA,27.672,NA,NA,Asperula cynanchica
NA,0.65,0.1649136,22.686666666666667,29.8248,NA,Athyrium filix-femina
5.6,0.6,NA,17.388,NA,NA,Atriplex hortensis
1.3445,0.9464285714285714,NA,17.375,NA,NA,Atriplex patula
0.8925,1,NA,30.605714285714285,NA,NA,Atropa belladonna
9.356593333333333,0.7625,0.006459928416666667,31.49089314777145,37.75153076923077,NA,Avena fatua
33.62009090909091,0.90025,0.006764312583333333,32.25532799138214,45.25089833333333,NA,Avena sativa
0.1287879,0.06852485714285714,NA,27.98170337272727,NA,NA,Bellis perennis
0.4212021818181818,13.525684210526316,0.16070774347826086,15.144531104560748,28.216666666666665,2.0936,Betula pendula
0.25838814285714284,11.141123134328359,0.1575,13.399645104563492,28.094074900000003,NA,Betula pubescens
17.045,0.31,NA,24.848,NA,NA,Borago officinalis
2.6266666666666665,0.84375,NA,44.118947368421054,NA,NA,Brachypodium sylvaticum
9934.260924528302,0.9550000000000001,NA,24.805,NA,NA,Brassica napus
1.10496525,0.8205,NA,26.420781666666667,NA,NA,Brassica nigra
1.9861802307692307,0.5585,NA,25.863199411764707,NA,NA,Brassica rapa
0.3288888888888889,0.09120588235294118,NA,21.4423303152,NA,NA,Briza media
8.87055,NA,NA,NA,NA,NA,Bromus catharticus
3.905303,0.64,NA,26.85312923076923,NA,NA,Bromus commutatus
2.6459809411764708,0.13694559842519685,0.0066734505,31.11041126830201,40.39299384615384,NA,Bromus hordeaceus
5.498333333333333,1.4,NA,22.53333333333333,NA,NA,Bromus ramosus
11.315,0.9,NA,19.898,NA,NA,Bromus secalinus
7.1643851666666665,0.5392858,NA,32.46952045454545,NA,NA,Bromus sterilis
0.064,1,NA,14.485774630666667,17.99,1.17,Calamagrostis epigejos
0.06,0.01,NA,25.36111111111111,NA,NA,Callitriche stagnalis
0.03563636363636364,0.7792857142857144,NA,11.235417350848385,15,1,Calluna vulgaris
9.95,NA,NA,NA,NA,NA,Calystegia macrostegia
25.561666666666667,1.481818181818182,NA,36.88153846153846,NA,NA,Calystegia sepium
1.1504285714285714,0.41500000000000004,NA,NA,NA,NA,Camelina sativa
0.11641220000000001,0.16777777777777778,NA,29.595828320909092,34.022475,3.49714,Capsella bursa-pastoris
0.11165649999999999,0.25,NA,40.87157,NA,NA,Cardamine flexuosa
0.11228771428571428,0.1595,NA,27.755567692307693,NA,NA,Cardamine hirsuta
0.106,0.16875,NA,34.505,NA,NA,Cardamine parviflora
0.6,0.32785714285714285,NA,22.993097899,NA,NA,Cardamine pratensis
1.52,NA,NA,10.6,NA,NA,Carex binervis
0.35,0.325,NA,26.38909090909091,NA,NA,Carex canescens
1.2,0.2,NA,19.943,NA,NA,Carex distans
0.788125,0.27152777777777776,NA,15.328853549394736,NA,NA,Carex flacca
2.4099999999999997,0.45,NA,17.936289510666665,NA,NA,Carex hirta
NA,0.2,NA,16.29285714285714,NA,NA,Carex hostiana
0.48150000000000004,NA,NA,NA,NA,NA,Carex leporina
0.665,0.5,NA,13.3,NA,NA,Carex pendula
1.5966666666666667,0.1,NA,9.824444444444445,NA,NA,Carex pulicaris
0.45,0.45,NA,25.75,NA,NA,Carex remota
2.04,0.275,NA,23.093333333333334,NA,NA,Carex spicata
1.54,0.425,NA,30.9,NA,NA,Carex sylvatica
43.03528683333333,10.581904761904761,0.13102,18.3502673,23.88,2.69,Carpinus betulus
2.3577142857142857,0.45,0.502512563,25.680625,35,NA,Carum carvi
2.4344444444444444,0.46875,NA,25.210434782608697,NA,NA,Centaurea nigra
